2026-06-28 19:57:18,369 INFO Connecting to 149.154.167.92:443/TcpFull...
2026-06-28 19:57:19,540 INFO Connection to 149.154.167.92:443/TcpFull complete!
2026-06-28 19:58:54,049 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 19:59:29,200 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:00:11,015 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:00:19,601 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:00:28,334 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:00:44,392 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:00:54,873 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:01:02,108 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:01:10,134 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:01:15,984 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:01:21,420 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:01:27,684 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:01:31,983 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:01:36,055 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:01:43,129 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:01:48,076 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:01:54,608 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:02:02,229 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:02:10,993 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:02:18,919 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:02:30,301 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:02:36,022 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:02:44,666 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:02:54,484 INFO Disconnecting from 149.154.167.92:443/TcpFull...
2026-06-28 20:05:56,085 - INFO - Connecting to 149.154.167.92:443/TcpFull...
2026-06-28 20:05:56,232 - INFO - Connection to 149.154.167.92:443/TcpFull complete!
2026-06-28 20:06:00,800 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
